time,value
1956-01-01,284.0
1956-02-01,253.44420562448872
1956-03-01,230.1853020273201
1956-04-01,213.0
1956-05-01,205.67685967467708
1956-06-01,209.84791131206634
1956-07-01,227.0
1956-08-01,257.7935386027687
1956-09-01,289.6820207220962
1956-10-01,308.0
1956-11-01,303.71975490013835
1956-12-01,284.9209367498369
1957-01-01,262.0
1957-02-01,245.62080648245254
1957-03-01,235.7804146851113
1957-04-01,228.0
1957-05-01,221.9031511258387
1957-06-01,222.5874084714207
1957-07-01,236.0
1957-08-01,266.2830126766705
1957-09-01,299.8439500587978
1957-10-01,320.0
1957-11-01,316.1263020749703
1957-12-01,296.51510079546756
1958-01-01,272.0
1958-02-01,253.80338812163862
1958-03-01,242.33528599297864
1958-04-01,233.0
1958-05-01,225.74938147172983
1958-06-01,225.23016318893363
1958-07-01,237.0
1958-08-01,264.7578513236915
1958-09-01,295.4247970237484
1958-10-01,313.0
1958-11-01,307.2151292130166
1958-12-01,286.35349165447275
1959-01-01,261.0
1959-02-01,242.39379787475036
1959-03-01,232.0636671835568
1959-04-01,227.0
1959-05-01,227.53857437730179
1959-06-01,234.9860040756613
1959-07-01,250.0
1959-08-01,273.5283069737823
1959-09-01,297.841172832709
1959-10-01,314.0
1959-11-01,316.24670625443
1959-12-01,306.11727171281797
1960-01-01,286.0
1960-02-01,261.0177888494521
1960-03-01,239.33615883684428
1960-04-01,227.0
1960-05-01,228.70035873703074
1960-06-01,243.0803599800741
1960-07-01,260.0
1960-08-01,281.17360367591294
1960-09-01,297.2310852702766
1960-10-01,311.0
1960-11-01,313.1477103076387
1960-12-01,310.0789030580313
1961-01-01,295.0
1961-02-01,274.25671996235906
1961-03-01,251.35053235736393
1961-04-01,233.0
1961-05-01,226.55965924775288
1961-06-01,235.38159867817717
1961-07-01,257.0
1961-08-01,290.8199009422298
1961-09-01,322.93333405579864
1961-10-01,339.0
1961-11-01,329.9225444574983
1961-12-01,305.9218180073718
1962-01-01,279.0
1962-02-01,261.76373104187223
1962-03-01,253.62451223151774
1962-04-01,250.0
1962-05-01,249.1598918183845
1962-06-01,254.78742609206626
1962-07-01,270.0
1962-08-01,298.51385519433603
1962-09-01,327.93034761730144
1962-10-01,346.0
1962-11-01,340.6408853836221
1962-12-01,321.79671922893584
1963-01-01,294.0
1963-02-01,274.99351087558637
1963-03-01,260.3661851247427
1963-04-01,255.0
1963-05-01,250.73990531208028
1963-06-01,260.37222884193477
1963-07-01,278.0
1963-08-01,312.551057120165
1963-09-01,344.0091881264645
1963-10-01,363.0
1963-11-01,357.5042322776542
1963-12-01,338.4501095613454
1964-01-01,313.0
1964-02-01,293.1135828989329
1964-03-01,279.66658116407905
1964-04-01,273.0
1964-05-01,272.929215627358
1964-06-01,282.2588523900069
1964-07-01,300.0
1964-08-01,327.6517340194899
1964-09-01,354.42488708209515
1964-10-01,370.0
1964-11-01,367.2653868513947
1964-12-01,352.0305518377261
1965-01-01,331.0
1965-02-01,312.05510531483304
1965-03-01,298.294059259548
1965-04-01,288.0
1965-05-01,283.9487697636519
1965-06-01,289.1036737035611
1965-07-01,306.0
1965-08-01,336.43292416635165
1965-09-01,367.9722295893453
1965-10-01,386.0
1965-11-01,381.28558019472433
1965-12-01,361.17676217069214
1966-01-01,335.0
1966-02-01,313.1404304638521
1966-03-01,298.3587363605781
1966-04-01,288.0
1966-05-01,283.9067215714063
1966-06-01,289.765204946556
1966-07-01,308.0
1966-08-01,342.2590788030088
1966-09-01,378.06378007040934
1966-10-01,402.0
1966-11-01,399.2701870011288
1966-12-01,381.7932194740198
1967-01-01,353.0
1967-02-01,335.5150546387904
1967-03-01,320.5698666921048
1967-04-01,316.0
1967-05-01,307.7446538072176
1967-06-01,313.8072408308642
1967-07-01,325.0
1967-08-01,354.41557531459756
1967-09-01,382.1450982118729
1967-10-01,405.0
1967-11-01,412.3952225633475
1967-12-01,408.7829590406602
1968-01-01,393.0
1968-02-01,368.8533187131463
1968-03-01,342.83847983088003
1968-04-01,319.0
1968-05-01,305.4083529908586
1968-06-01,306.86100362886253
1968-07-01,327.0
1968-08-01,368.49666833964574
1968-09-01,413.50659661823164
1968-10-01,442.0
1968-11-01,439.2360402708822
1968-12-01,416.0838401063286
1969-01-01,383.0
1969-02-01,357.7637346695434
1969-03-01,340.43094669657984
1969-04-01,332.0
1969-05-01,329.52440621181813
1969-06-01,340.27802970359403
1969-07-01,361.0
1969-08-01,396.33586010092006
1969-09-01,428.8773907814852
1969-10-01,446.0
1969-11-01,436.94537452654754
1969-12-01,413.50628249909204
1970-01-01,387.0
1970-02-01,370.3172386684706
1970-03-01,361.99795471820005
1970-04-01,357.0
1970-05-01,353.6060924415813
1970-06-01,357.30456520982295
1970-07-01,374.0
1970-08-01,408.1419633261639
1970-09-01,444.8096588812741
1970-10-01,466.0
1970-11-01,460.26047502461194
1970-12-01,437.43408267829125
1971-01-01,410.0
1971-02-01,390.8259385683497
1971-03-01,379.40006588246945
1971-04-01,370.0
1971-05-01,361.8660432972575
1971-06-01,362.09097609253575
1971-07-01,379.0
1971-08-01,418.3373904507421
1971-09-01,461.81735377074324
1971-10-01,487.0
1971-11-01,479.56122516522186
1971-12-01,451.703948432508
1972-01-01,419.0
1972-02-01,397.36346038526733
1972-03-01,385.6410094040199
1972-04-01,378.0
1972-05-01,372.26881914577416
1972-06-01,374.80902763540166
1972-07-01,393.0
1972-08-01,432.2905307738229
1972-09-01,476.6209859257424
1972-10-01,506.0
1972-11-01,507.73801556055355
1972-12-01,488.46649995598176
1973-01-01,458.0
1973-02-01,427.6364424552017
1973-03-01,404.30109050370703
1973-04-01,387.0
1973-05-01,382.02654674106157
1973-06-01,394.2413025843682
1973-07-01,427.0
1973-08-01,482.68804856256514
1973-09-01,537.7041120559652
1973-10-01,565.0
1973-11-01,547.9012387480899
1973-12-01,506.512724456409
1974-01-01,465.0
1974-02-01,446.9046802348974
1974-03-01,444.3899806596948
1974-04-01,445.0
1974-05-01,439.596697794456
1974-06-01,437.29652280707165
1974-07-01,450.0
1974-08-01,486.49616162442294
1974-09-01,529.2465072491425
1974-10-01,556.0
1974-11-01,552.3218057812871
1974-12-01,528.9402434903869
1975-01-01,500.0
1975-02-01,479.72497926328464
1975-03-01,466.37210844391217
1975-04-01,452.0
1975-05-01,435.14623137027434
1975-06-01,425.27309950765243
1975-07-01,435.0
1975-08-01,472.6518493752754
1975-09-01,520.2070514682133
1975-10-01,554.0
1975-11-01,558.7081591137922
1975-12-01,540.6184551509688
1976-01-01,510.0
1976-02-01,478.43482377404393
